Number;Age;Language;CulturalProfile;Gender;Province;Income;Favoured_Product;JoinYear;Overdue;CurrentMOP;ClusterGroup
1;18;English;2;Male;EC;;Product3;2013;0;Cash;6
12;19;English;2;Female;EC;;Product3;2013;1;Cash;6
13;19;English;2;Male;EC;;Product3;2013;1;Cash;6
19;19;English;2;Female;EC;;Product3;2013;1;Cash;6
32;19;English;2;Male;EC;G;Product3;2005;1;Cash;2
51;20;English;3;Female;EC;F;Product1;2011;1;Cash;4
71;20;English;3;Female;EC;;Product3;2013;0;Cash;6
103;20;English;4;Male;EC;;Product3;2013;1;Cash;6
111;20;English;2;Male;EC;;Product1;2012;1;Cash;6
177;21;English;3;Male;EC;;Product3;2012;1;Cash;6
188;21;English;3;Female;EC;G;Product1;2012;1;Debit;4
202;21;English;3;Male;EC;I;Product3;2010;0;Cash;2
203;21;English;2;Male;EC;;Product6;2012;1;Cash;6
208;21;English;3;Male;EC;;Product6;2013;0;Cash;6
255;21;English;2;Female;EC;H;Product3;2011;0;Cash;2
265;22;English;2;Male;EC;H;Product3;2012;0;Cash;2
292;22;English;3;Male;EC;F;Product1;2012;1;Cash;4
298;22;English;3;Male;EC;H;Product3;2010;1;Cash;2
301;22;English;3;Male;EC;D;Product1;2012;0;Cash;4
313;22;English;2;Male;EC;H;Product3;2011;1;Cash;2
338;22;English;3;Female;EC;;Product3;2013;0;Cash;6
362;22;English;3;Female;EC;H;Product3;2011;1;Cash;2
381;22;English;2;Female;EC;;Null;2013;0;Cash;6
382;22;English;2;Male;EC;I;Product3;2011;1;Cash;2
384;22;English;2;Female;EC;G;Product1;2012;1;Debit;5
388;22;English;3;Male;EC;;Product3;2012;0;Cash;6
407;22;English;3;Male;EC;G;Product1;2012;0;Debit;4
409;22;English;2;Female;EC;;Product3;2013;1;Cash;6
418;22;English;2;Male;EC;I;Product3;2012;1;Cash;2
420;22;English;3;Female;EC;H;Product3;2012;0;Debit;5
442;22;English;2;Male;EC;;Product3;2013;1;Cash;6
456;22;English;2;Female;EC;I;Product3;2010;1;Cash;2
466;22;English;2;Male;EC;I;Product6;2011;1;Cash;2
502;23;English;2;Female;EC;H;Product3;2012;1;Cash;2
523;23;English;2;Male;EC;F;Product3;2010;0;Debit;5
533;23;English;2;Female;EC;;Product3;2013;0;Cash;6
538;23;English;2;Male;EC;;Product3;2010;1;Cash;6
570;23;English;3;Female;EC;G;Product5;2010;1;Cash;2
571;23;English;3;Female;EC;;Product3;2013;0;Cash;6
593;23;English;2;Female;EC;F;Product1;2011;1;Cash;2
609;23;English;2;Female;EC;;Product10;2012;1;Cash;6
648;23;English;2;Male;EC;;Product1;2013;1;Cash;6
653;23;English;2;Female;EC;;Product3;2012;1;Cash;6
654;23;English;3;Male;EC;H;Product3;2012;1;Cash;2
673;23;English;3;Male;EC;G;Product1;2011;1;Cash;4
685;23;English;3;Female;EC;I;Product3;2011;1;Cash;2
711;23;English;3;Male;EC;;Product1;2013;0;Cash;4
723;23;English;2;Female;EC;;Product6;2013;0;Cash;6
737;23;English;2;Female;EC;I;Product3;2012;0;Cash;2
741;23;English;3;Male;EC;I;Product3;2011;1;Cash;2
762;23;English;2;Male;EC;I;Product3;2012;1;Cash;2
774;23;English;2;Female;EC;H;Product3;2010;1;Cash;2
783;23;English;3;Male;EC;I;Product3;2013;1;Cash;2
819;24;English;2;Female;EC;;Product3;2012;1;Cash;6
822;24;English;2;Male;EC;;Product3;2013;0;Cash;6
